key,key:booking,key:passenger
#Base Entity
booking-record-01,booking-01,passenger-32
#Booking standard customer 1
booking-record-02,booking-02,passenger-32
booking-record-03,booking-03,passenger-32
booking-record-04,booking-04,passenger-32
#Passenger standard
booking-record-05,booking-01,passenger-33
booking-record-06,booking-01,passenger-33
booking-record-07,booking-01,passenger-34
booking-record-08,booking-01,passenger-34
#Booking standard customer 2
booking-record-09,booking-16,passenger-32
booking-record-10,booking-16,passenger-32
booking-record-11,booking-16,passenger-32
booking-record-12,booking-16,passenger-32
